abstract strategy,action / dexterity,adventure,age of reason,american civil war,american indian wars,american revolutionary war,american west,ancient,animals,arabian,aviation / flight,bluffing,book,card game,children's game,city building,civil war,civilization,collectible components,comic book / strip,deduction,dice,economic,educational,electronic,environmental,expansion for base-game,exploration,fantasy,farming,fighting,game system,horror,humor,industry / manufacturing,korean war,mafia,math,mature / adult,maze,medical,medieval,memory,miniatures,modern warfare,movies / tv / radio theme,murder/mystery,music,mythology,napoleonic,nautical,negotiation,none,novel-based,number,party game,pike and shot,pirates,political,post-napoleonic,prehistoric,print & play,puzzle,racing,real-time,religious,renaissance,science fiction,space exploration,spies/secret agents,sports,territory building,trains,transportation,travel,trivia,video game theme,vietnam war,wargame,word game,world war i,world war ii,zombies,acting,action / movement programming,action point allowance system,area control / area influence,area enclosure,area movement,area-impulse,auction/bidding,betting/wagering,campaign / battle card driven,card drafting,chit-pull system,co-operative play,commodity speculation,crayon rail system,deck / pool building,dice rolling,grid movement,hand management,hex-and-counter,line drawing,memory,modular board,none,paper-and-pencil,partnerships,pattern building,pattern recognition,pick-up and deliver,player elimination,point to point movement,press your luck,rock-paper-scissors,role playing,roll / spin and move,route/network building,secret unit deployment,set collection,simulation,simultaneous action selection,singing,stock holding,storytelling,take that,tile placement,time track,trading,trick-taking,variable phase order,variable player powers,voting,worker placement,rank,bgg_url,game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,designer,weight,name
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,https://boardgamegeek.com/boardgame/220308/gaia-project,220308,gaia project,1,4,150,60,150,2017,8.68217,8.00732,4860,https://cf.geekdo-images.com/original/img/fpq2odfhsgdgfepskl0uu2xyyma=/0x0/pic3763556.jpg,12,"modular board, route/network building, variable player powers",6243,"civilization, economic, science fiction, territory building","jens drã¶gemã¼ller, helge ostertag",4.2966,gaia project
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12,https://boardgamegeek.com/boardgame/84876/castles-burgundy,84876,the castles of burgundy,2,4,90,30,90,2011,8.12383,8.006789999999999,31613,https://cf.geekdo-images.com/original/img/w3esrbf6-gvr5_qbef7yl1rslnk=/0x0/pic1176894.jpg,12,"dice rolling, set collection, tile placement, variable phase order",43992,"dice, medieval, territory building",stefan feld,3.0272,the castles of burgundy
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,https://boardgamegeek.com/boardgame/173346/7-wonders-duel,173346,7 wonders duel,2,2,30,30,30,2015,8.145589999999999,8.006269999999999,32165,https://cf.geekdo-images.com/original/img/m6wl1yfgw-psdtj328m2qijf1k8=/0x0/pic3376065.jpg,10,"card drafting, set collection",49800,"ancient, card game, city building, civilization","antoine bauza, bruno cathala",2.2307,7 wonders duel
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,https://boardgamegeek.com/boardgame/115746/war-ring-second-edition,115746,war of the ring (second edition),2,4,180,150,180,2012,8.37781,7.98727,8217,https://cf.geekdo-images.com/original/img/sajoz0c2_gzqxjn2nprgpfvshko=/0x0/pic1215633.jpg,13,"area control / area influence, area movement, campaign / battle card driven, dice rolling, hand management",13216,"adventure, fantasy, fighting, miniatures, novel-based, territory building, wargame","roberto di meglio, marco maggi, francesco nepitello",4.0418,war of the ring (second edition)
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15,https://boardgamegeek.com/boardgame/102794/caverna-cave-farmers,102794,caverna: the cave farmers,1,7,210,30,210,2013,8.1177,7.95343,21145,https://cf.geekdo-images.com/original/img/xluih5vnsd57gxfcbox_zf1jh4o=/0x0/pic1790789.jpg,12,"tile placement, worker placement",26974,"animals, economic, fantasy, farming",uwe rosenberg,3.7823,caverna: the cave farmers
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,https://boardgamegeek.com/boardgame/3076/puerto-rico,3076,puerto rico,2,5,150,90,150,2002,8.06034,7.94839,52849,https://cf.geekdo-images.com/original/img/rvdwbkmdks7an8sodr4pyvcpona=/0x0/pic158548.jpg,12,variable phase order,61011,"city building, economic, farming",andreas seyfarth,3.2932,puerto rico
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,17,https://boardgamegeek.com/boardgame/31260/agricola,31260,agricola,1,5,150,30,150,2007,8.02172,7.923189999999999,53481,https://cf.geekdo-images.com/original/img/l-ubo3rbomvirzhzlsxoypyaupw=/0x0/pic259085.jpg,12,"area enclosure, card drafting, hand management, variable player powers, worker placement",64468,"animals, economic, farming",uwe rosenberg,3.6326,agricola
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,18,https://boardgamegeek.com/boardgame/96848/mage-knight-board-game,96848,mage knight board game,1,4,240,60,240,2011,8.118160000000001,7.915539999999999,21524,https://cf.geekdo-images.com/original/img/agyvx6nyd6kq4huztaobqvlefwy=/0x0/pic1083380.jpg,14,"card drafting, co-operative play, deck / pool building, dice rolling, grid movement, hand management, modular board, role playing, tile placement, variable player powers",31976,"adventure, exploration, fantasy, fighting",vlaada chvã¡til,4.2406,mage knight board game
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,19,https://boardgamegeek.com/boardgame/183394/viticulture-essential-edition,183394,viticulture essential edition,1,6,90,45,90,2015,8.17385,7.91061,12037,https://cf.geekdo-images.com/original/img/6kqbzbjv6hlxdzeqpwmrmr3gn6w=/0x0/pic2649952.jpg,13,"hand management, variable phase order, worker placement",16732,"economic, farming","morten monrad pedersen, jamey stegmaier, alan stone",2.9307,viticulture essential edition
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,https://boardgamegeek.com/boardgame/205637/arkham-horror-card-game,205637,arkham horror: the card game,1,2,120,60,120,2016,8.2564,7.90793,12047,https://cf.geekdo-images.com/original/img/eq0kl-bh9rci5ajwvlnalafo00e=/0x0/pic3122349.jpg,14,"action point allowance system, co-operative play, deck / pool building, hand management, role playing, variable player powers",22612,"adventure, card game, collectible components, fantasy, horror, novel-based","nate french, matthew newman",3.2205,arkham horror: the card game
